Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCC07,OUT017,1545.9172
NCD19,OUT027,1545.6501
FDL46,OUT049,1971.6467
FDM20,OUT045,4217.9897
NCI06,OUT010,430.94504
DRM11,OUT035,4245.786
NCH07,OUT018,1899.4666
FDS23,OUT013,2255.332
FDO49,OUT018,560.4917
FDS35,OUT049,1197.8514
DRK39,OUT045,1257.5701
DRI39,OUT049,978.71857
FDV04,OUT017,2016.0328
NCN14,OUT035,3074.5447
FDH08,OUT013,4461.1455
FDS20,OUT046,3002.1833
FDV40,OUT049,1122.3302
FDZ48,OUT010,201.55379
FDS24,OUT027,2292.8713
FDK44,OUT049,2843.5798
FDS48,OUT045,2370.1995
FDK26,OUT010,416.84167
FDD23,OUT045,2960.299
NCH54,OUT017,2187.1182
NCP14,OUT010,231.65495
FDM60,OUT010,81.79343
FDV24,OUT017,2293.943
FDH08,OUT018,3874.5298
FDS12,OUT027,3418.82
FDR39,OUT027,5600.795
FDP12,OUT027,1316.8148
DRF60,OUT027,6602.938
FDC09,OUT035,1703.6521
FDF50,OUT018,3574.5168
FDG28,OUT035,4166.646
NCE19,OUT017,743.32367
NCM53,OUT010,353.16403
NCN18,OUT049,1764.2096
FDF32,OUT035,3403.9531
FDF11,OUT013,4403.5073
DRI59,OUT049,3509.4148
NCG54,OUT035,2670.7385
FDM44,OUT046,1737.8387
FDT57,OUT018,3666.7537
FDV24,OUT046,2674.1653
FDI50,OUT019,641.1463
FDS09,OUT035,930.13904
NCC31,OUT027,4015.4585
FDQ07,OUT019,474.98242
FDC22,OUT017,2846.2231
FDZ56,OUT046,2734.1687
FDZ40,OUT019,97.52641
FDS46,OUT027,3203.747
DRD24,OUT045,2238.9534
FDV45,OUT017,3239.595
FDL26,OUT045,2380.1213
FDA56,OUT018,1759.8313
FDN27,OUT046,1528.2468
FDM20,OUT049,4544.06
FDO16,OUT017,1211.8834
FDL03,OUT035,3809.2097
FDE58,OUT046,1989.9725
FDI02,OUT027,3437.5134
NCC55,OUT019,66.043884
FDR03,OUT018,3243.0645
FDB14,OUT017,1718.9589
FDR45,OUT013,4433.0566
NCN07,OUT017,1846.2402
FDM51,OUT019,198.37846
FDT52,OUT027,7178.2827
FDL26,OUT046,2845.1729
NCZ42,OUT046,3294.458
DRI47,OUT019,404.94388
FDW40,OUT013,2181.5327
FDN34,OUT046,3025.8965
FDS01,OUT035,3244.033
NCG55,OUT045,1564.6267
FDC11,OUT035,1636.5371
FDX35,OUT018,3033.8057
NCB06,OUT046,2579.2063
FDR09,OUT019,551.8796
FDC53,OUT017,1456.3798
FDY45,OUT013,5393.391
FDA22,OUT010,249.14034
FDE02,OUT035,1680.6752
FDW21,OUT045,1489.7281
FDV34,OUT046,1540.7886
FDS59,OUT049,2127.761
NCW17,OUT017,1954.8185
NCK54,OUT046,1517.7235
FDG17,OUT019,642.3204
FDG35,OUT017,3193.1619
FDD08,OUT010,72.49449
NCO07,OUT017,3308.9167
FDJ10,OUT010,342.3133
FDW36,OUT017,1510.3033
FDW21,OUT010,244.5833
FDY19,OUT017,2052.2656
DRE03,OUT013,783.30615
NCC55,OUT049,728.72125
FDH52,OUT010,108.01999
FDO09,OUT017,4336.3184
FDU43,OUT045,4576.9414
FDX09,OUT010,416.1113
FDH40,OUT019,136.53946
FDW58,OUT017,1945.3494
FDC47,OUT017,3587.3796
NCR41,OUT035,1764.5562
DRG49,OUT035,4077.4204
FDC52,OUT027,4319.972
FDY13,OUT046,1421.7412
FDY35,OUT013,1355.7416
FDI35,OUT017,2517.403
NCU18,OUT049,2422.5576
FDY33,OUT018,2351.4038
FDC15,OUT027,4072.1948
FDU01,OUT049,3430.1643
NCU42,OUT046,2343.7039
NCV29,OUT018,2598.942
NCY30,OUT017,2946.1687
FDQ46,OUT049,2091.783
FDG58,OUT027,3938.0498
FDK33,OUT017,3935.275
NCD07,OUT045,1576.7026
NCX29,OUT027,3770.2258
NCT42,OUT013,2412.349
DRN59,OUT035,789.33673
FDI44,OUT035,1158.1871
FDA45,OUT049,2961.687
FDP31,OUT045,1125.002
FDY01,OUT046,2036.158
FDT09,OUT018,2036.5734
DRH03,OUT027,2759.749
FDA36,OUT018,3035.5562
NCF31,OUT017,2187.5674
FDG14,OUT049,2214.3706
FDG28,OUT027,7187.6
FDU14,OUT049,3944.9092
FDY47,OUT019,215.5186
FDI56,OUT049,1356.8972
DRD01,OUT013,905.5029
FDM22,OUT046,1345.5032
FDH33,OUT013,1031.5763
DRZ24,OUT013,2150.3633
NCQ38,OUT046,1073.7325
FDO16,OUT027,2140.6057
FDU07,OUT027,4660.432
NCB07,OUT013,3198.5078
FDU48,OUT045,1950.8646
NCM43,OUT045,2244.7356
FDR31,OUT010,316.63474
DRK49,OUT018,448.58597
NCI30,OUT010,765.422
DRD60,OUT017,3037.4858
NCG19,OUT046,3036.789
FDH12,OUT035,1407.9276
FDM32,OUT035,1544.912
FDM27,OUT035,2199.5256
NCU53,OUT027,4438.929
NCQ18,OUT046,1367.9753
FDS10,OUT013,3391.406
FDB33,OUT027,5088.6387
FDI12,OUT013,1338.566
NCW42,OUT013,3812.5276
NCC06,OUT018,1717.6097
FDW02,OUT017,2250.4126
NCD43,OUT017,1464.3594
FDM57,OUT018,1277.5597
FDA58,OUT017,3839.1826
FDK56,OUT046,2665.6055
FDP52,OUT045,3943.8967
FDW20,OUT018,1719.2086
FDS52,OUT049,1311.2382
NCT29,OUT018,1744.3115
NCL54,OUT013,2792.9722
FDC05,OUT045,2501.2725
FDF34,OUT035,3291.7537
FDP03,OUT027,3239.0227
FDD32,OUT010,158.68282
FDZ10,OUT045,1791.5862
FDZ40,OUT035,935.8987
FDD51,OUT018,745.5356
NCY30,OUT019,369.2335
FDP58,OUT017,3403.4739
FDV49,OUT017,5140.9473
FDY24,OUT019,160.71121
NCO55,OUT017,1406.3813
FDR13,OUT017,2327.2415
FDS51,OUT017,843.59094
FDP26,OUT045,1377.9392
NCB54,OUT027,3552.1228
FDF32,OUT017,3538.6868
FDN31,OUT018,2944.2227
DRM48,OUT017,754.136
FDN20,OUT049,2864.5635
DRL01,OUT046,4029.9001
FDV56,OUT049,1545.7147
DRH13,OUT027,2772.7642
FDA03,OUT017,2632.2427
FDF47,OUT027,5347.199
FDX32,OUT046,2262.1423
FDX57,OUT049,1441.327
NCA30,OUT045,2636.8416
FDO49,OUT013,860.8088
FDL04,OUT019,152.0066
DRM48,OUT035,789.59314
FDR16,OUT013,3406.0571
NCC19,OUT018,2277.5498
NCE42,OUT045,3728.0112
FDY24,OUT017,922.278
FDH19,OUT049,3293.9177
FDJ46,OUT013,3001.197
FDN45,OUT010,616.9551
FDY08,OUT035,2321.4758
FDZ37,OUT035,1683.7733
NCT30,OUT045,781.0414
DRY23,OUT018,469.64908
NCZ30,OUT018,1440.8551
FDC44,OUT018,1719.4303
FDB45,OUT035,1801.254
FDY04,OUT013,3017.2424
FDM27,OUT046,2279.381
FDZ43,OUT017,4624.5835
FDT39,OUT019,397.21692
NCC06,OUT019,267.63538
FDL15,OUT027,4317.808
FDL57,OUT017,4507.4165
FDU08,OUT046,1758.0028
FDK40,OUT017,4723.204
FDQ12,OUT010,491.72162
FDS48,OUT017,2315.9124
FDP09,OUT045,2850.55
FDW21,OUT049,1592.9247
FDY25,OUT035,3196.2688
DRE13,OUT017,1296.2642
FDV43,OUT019,92.4794
FDD22,OUT045,1389.7091
FDM46,OUT019,203.1121
NCO30,OUT010,533.90405
FDM25,OUT046,2307.2449
NCN41,OUT049,2039.178
FDU24,OUT045,1552.7622
FDZ50,OUT046,2940.8696
FDP45,OUT013,4897.5923
NCM54,OUT045,1733.3993
FDW10,OUT019,338.91345
FDP20,OUT017,2257.1104
FDK32,OUT046,2556.5977
FDN52,OUT049,1013.24976
FDM58,OUT045,1616.6309
FDZ46,OUT027,3162.5098
NCA18,OUT018,1337.076
FDD35,OUT046,1522.4132
NCK31,OUT035,775.4667
FDI40,OUT027,2557.213
FDT50,OUT019,235.3322
NCT06,OUT046,2179.429
FDT31,OUT035,3648.6826
FDT45,OUT049,966.7533
FDT13,OUT045,3172.0334
FDO50,OUT045,1396.4022
NCU18,OUT010,325.36322
NCR54,OUT049,3205.2336
NCO18,OUT018,2293.7185
FDU09,OUT045,841.6305
FDT13,OUT018,2936.3887
FDE09,OUT046,2032.5781
NCK53,OUT019,278.91022
FDG45,OUT049,3830.0835
DRH15,OUT035,733.50616
FDO21,OUT019,585.2092
FDD14,OUT027,5305.4434
FDC09,OUT046,1772.1538
FDH45,OUT027,1711.302
FDV32,OUT046,1244.8203
FDG12,OUT035,1784.8716
FDS32,OUT013,2669.641
NCL55,OUT018,4849.072
DRE01,OUT035,4214.9214
DRE15,OUT049,1033.4409
NCL42,OUT045,3768.708
FDP31,OUT013,1194.9326
FDN33,OUT018,1617.6271
FDZ59,OUT046,3157.9568
FDE45,OUT010,369.70172
FDJ07,OUT013,1814.9962
FDQ45,OUT018,2896.7317
FDM33,OUT027,6014.4346
FDO15,OUT010,143.52702
FDM46,OUT013,1775.0514
FDR03,OUT045,3339.6892
FDY49,OUT018,2543.5564
FDQ60,OUT045,1947.1742
FDW10,OUT049,3054.5054
FDO51,OUT049,719.93536
FDJ40,OUT018,1170.725
FDS20,OUT018,2848.4167
FDU45,OUT013,1919.3319
FDV02,OUT035,3042.4353
FDN09,OUT046,3932.6921
NCM55,OUT027,4932.1895
FDN23,OUT018,1837.1328
FDY31,OUT010,290.23032
FDW03,OUT010,249.83214
FDD14,OUT046,3187.5122
FDV23,OUT017,1987.7992
DRI03,OUT045,2836.5845
FDN13,OUT035,2059.0269
FDF45,OUT027,2123.027
FDU46,OUT035,1492.1285
FDB57,OUT049,4156.324
FDV12,OUT049,1376.4056
FDQ58,OUT013,2689.986
NCA18,OUT017,1479.8884
FDH52,OUT049,768.15814
FDM24,OUT018,2460.1338
NCP43,OUT027,4782.9067
NCO18,OUT019,365.8344
FDM32,OUT017,1606.7888
NCL07,OUT017,722.4096
FDK03,OUT013,4869.6743
FDP59,OUT017,2050.5828
FDQ24,OUT049,4570.2065
FDQ16,OUT018,1468.5538
FDU44,OUT013,2748.5786
FDH28,OUT010,91.16013
FDV28,OUT019,100.74287
FDM22,OUT045,774.553
FDR56,OUT046,2919.2314
FDV39,OUT049,3699.645
FDU37,OUT019,258.91574
FDQ11,OUT010,675.6379
FDX02,OUT045,3493.954
NCS42,OUT018,984.2899
FDY57,OUT027,2604.4504
FDB21,OUT049,4558.221
FDE28,OUT017,3406.611
FDQ55,OUT017,1982.653
FDA48,OUT049,3610.6396
FDZ19,OUT045,2591.107
NCC43,OUT045,3607.89
NCV18,OUT046,1233.8551
NCA42,OUT018,2000.5365
FDY45,OUT046,4250.6157
NCC30,OUT045,2534.141
FDM57,OUT013,1401.2358
FDL09,OUT010,297.79083
FDB09,OUT027,3917.214
FDT44,OUT035,1832.0055
NCT06,OUT027,4184.5474
FDX26,OUT049,2535.4158
FDK32,OUT013,2730.4983
DRA12,OUT046,1878.4287
FDO46,OUT010,424.65613
FDE52,OUT013,1264.5504
NCH42,OUT045,3326.7551
FDV08,OUT035,777.3389
FDB47,OUT018,3289.2434
FDC28,OUT010,203.6344
FDD22,OUT046,1985.1062
FDS07,OUT027,3586.268
DRI13,OUT045,3717.6462
FDG32,OUT018,3981.2842
FDU14,OUT017,4451.972
FDD28,OUT019,99.40684
NCP41,OUT017,1669.0825
FDS08,OUT049,2930.4612
FDX47,OUT045,2499.9194
FDC53,OUT019,246.09093
FDQ19,OUT035,4866.6
FDL14,OUT045,2401.5269
FDM33,OUT019,430.48654
FDA51,OUT045,1596.6233
FDZ27,OUT018,655.64404
FDT04,OUT046,714.8881
DRC13,OUT049,1470.1105
FDR16,OUT027,5667.04
FDQ03,OUT027,7124.595
FDE38,OUT035,3067.3638
DRH23,OUT027,1733.2334
FDT11,OUT019,371.71765
FDD09,OUT035,3160.2847
FDR40,OUT045,1145.2703
FDX07,OUT017,3536.7708
FDR07,OUT035,1530.5967
FDA51,OUT017,2227.1733
FDT59,OUT019,717.1512
FDF20,OUT017,3553.9863
FDR13,OUT045,1882.1969
FDY26,OUT049,3236.9067
FDW04,OUT017,1898.3424
FDK52,OUT017,3797.0981
FDN60,OUT049,2486.322
FDM09,OUT019,282.7384
FDP46,OUT049,1442.0637
FDB50,OUT019,313.24908
NCQ29,OUT049,4282.6377
FDP16,OUT027,7458.639
FDX33,OUT018,2524.904
FDP07,OUT010,474.50394
FDN22,OUT046,3646.1482
FDF39,OUT049,4402.4126
FDS21,OUT017,1257.515
NCM42,OUT013,1606.9182
FDK50,OUT019,401.67282
DRF13,OUT027,3893.888
FDH35,OUT018,1856.6613
FDP60,OUT018,1236.7073
DRJ49,OUT027,3441.3076
NCT42,OUT019,309.59833
FDE38,OUT049,2567.6028
FDI04,OUT049,2658.7646
NCH54,OUT045,2155.0808
FDT56,OUT049,957.9204
DRD15,OUT018,3941.7502
FDV58,OUT013,3972.2322
FDP21,OUT049,3188.5898
FDH05,OUT013,4439.64
FDR10,OUT027,4460.3306
NCP06,OUT045,2116.3865
FDF33,OUT049,2534.141
DRK37,OUT013,3686.5195
DRH49,OUT045,1351.9819
FDT58,OUT013,2787.782
FDD41,OUT018,1028.8104
FDP40,OUT018,1161.4902
FDM51,OUT027,2474.1584
FDO45,OUT010,190.94287
FDW33,OUT010,273.71518
FDY24,OUT045,1088.7405
FDB10,OUT010,612.0734
FDM40,OUT035,2101.0125
NCI06,OUT017,2624.8855
FDW12,OUT019,325.8595
FDX48,OUT027,4317.165
NCW05,OUT027,3229.485
FDX27,OUT017,1738.649
DRM37,OUT045,3264.4265
FDA38,OUT045,3806.5864
FDR36,OUT046,985.2114
FDZ45,OUT046,3049.569
FDG05,OUT017,2268.0083
FDK28,OUT013,5077.712
FDV47,OUT045,1808.517
FDN21,OUT045,2002.1515
FDP20,OUT027,4006.2886
FDI35,OUT045,2490.0225
DRY23,OUT013,759.15875
FDA56,OUT017,2098.067
FDB09,OUT013,2199.4797
NCO26,OUT027,3015.6335
FDQ49,OUT018,2250.1604
FDI52,OUT027,3285.5012
FDZ44,OUT027,3668.9363
FDZ09,OUT018,2295.2708
FDY03,OUT049,1691.4641
NCG42,OUT017,1889.3676
DRI13,OUT027,6033.7344
FDQ32,OUT013,2285.2405
FDW16,OUT035,1504.3755
FDU27,OUT046,841.3833
FDR28,OUT010,337.7169
FDQ49,OUT010,439.70786
FDS37,OUT046,2253.86
FDW26,OUT018,3285.053
FDX12,OUT018,4172.702
NCP06,OUT013,2459.7717
FDW45,OUT010,372.0183
NCN30,OUT049,1651.8735
FDN24,OUT049,881.41095
NCL41,OUT027,1495.6193
FDR02,OUT019,284.8801
FDD09,OUT010,396.10568
FDS33,OUT010,202.51405
FDU22,OUT045,1456.2611
FDI53,OUT013,2355.5989
DRH01,OUT049,2877.3765
FDX32,OUT013,2379.6382
NCP30,OUT018,579.1032
FDB60,OUT045,3127.7483
FDB14,OUT049,1603.0314
NCP02,OUT035,1140.9796
FDJ10,OUT017,2128.1514
FDG34,OUT046,2150.6309
NCB18,OUT017,1223.7218
FDM16,OUT049,856.3153
FDW25,OUT018,1419.0525
FDB35,OUT010,129.8728
DRN11,OUT013,2124.323
FDF41,OUT019,568.41284
FDH16,OUT045,1049.8683
NCQ50,OUT018,2967.6018
DRH23,OUT018,998.5314
DRJ37,OUT013,2786.451
DRJ24,OUT027,4721.0205
FDY16,OUT035,3027.272
FDQ27,OUT045,1239.7627
FDZ33,OUT045,1778.0895
FDF29,OUT045,1825.227
FDA08,OUT049,2499.576
FDG31,OUT046,882.35065
FDE34,OUT019,469.1124
NCR30,OUT027,1987.4095
FDV33,OUT035,4566.6055
DRZ24,OUT018,1446.2886
NCL54,OUT035,2708.56
FDR12,OUT049,2915.4785
NCC54,OUT046,3939.2397
DRN59,OUT013,949.77875
FDX50,OUT019,233.58643
FDV31,OUT027,5433.1587
NCA29,OUT027,4423.7
FDW60,OUT049,3186.1367
FDX08,OUT017,3319.175
DRD49,OUT013,4668.5835
FDD33,OUT046,3327.7568
FDW35,OUT013,1186.0803
FDJ36,OUT017,1445.6726
FDV51,OUT035,2907.5586
FDW36,OUT046,1570.4293
FDH35,OUT046,2265.362
NCS30,OUT027,3433.858
FDN49,OUT017,914.37885
FDL08,OUT018,4250.9243
FDI09,OUT013,8344.122
FDP19,OUT018,2037.4907
FDU21,OUT010,97.09129
NCP41,OUT045,1710.6848
FDY10,OUT013,2114.8145
FDP12,OUT018,617.8584
NCN26,OUT049,1838.1168
FDK44,OUT013,2980.737
FDC28,OUT049,1325.9496
FDJ41,OUT027,8456.36
NCT29,OUT035,2269.162
NCH42,OUT019,456.93146
FDU60,OUT018,2661.9417
FDS02,OUT045,2625.8018
FDC51,OUT046,2053.8833
FDU03,OUT013,3125.8044
FDX39,OUT045,3244.3896
NCY05,OUT010,102.595474
NCL06,OUT027,6763.877
FDD32,OUT035,1427.0913
NCN41,OUT045,1876.1604
NCX53,OUT049,2508.9438
FDU57,OUT019,243.11383
FDQ23,OUT046,2016.4696
FDQ52,OUT045,3820.1606
FDC14,OUT045,854.9464
FDY09,OUT035,3442.6755
FDQ28,OUT045,1994.1841
FDV25,OUT046,4379.772
FDJ07,OUT035,1808.1614
DRB25,OUT049,1571.6592
FDK52,OUT019,463.49915
FDY52,OUT027,1691.6196
FDB28,OUT046,2842.0889
FDT36,OUT035,598.4495
FDV25,OUT017,4278.3286
NCN07,OUT027,3166.106
FDC57,OUT017,3502.763
FDQ03,OUT018,3830.938
FDU23,OUT017,2548.055
NCX41,OUT035,3580.702
NCD06,OUT035,924.56433
FDW08,OUT045,1598.3186
NCU29,OUT017,2494.3286
NCE06,OUT013,2598.7014
FDV52,OUT010,266.11572
FDB02,OUT017,3394.7651
NCR18,OUT045,704.37177
FDK16,OUT049,1244.3357
NCQ29,OUT010,877.6444
FDZ01,OUT019,284.97
FDW27,OUT035,2299.2173
FDD17,OUT018,3387.3025
FDW39,OUT013,2910.4285
DRH59,OUT045,1007.61456
FDS52,OUT013,1724.5044
FDU40,OUT027,5455.2104
NCF54,OUT013,2840.4346
FDH46,OUT045,1423.9106
NCP14,OUT049,1494.6022
FDH50,OUT049,3141.7466
DRF15,OUT010,325.60617
FDV27,OUT027,2182.7378
NCJ06,OUT049,2211.4507
FDN02,OUT018,3161.8477
FDQ51,OUT049,828.4603
FDQ07,OUT017,4025.6943
FDS45,OUT049,1695.7604
NCJ06,OUT045,1638.6001
FDD36,OUT035,1833.8342
FDY25,OUT045,2842.3674
FDU52,OUT046,2354.7373
DRK47,OUT017,3675.062
NCL30,OUT017,1807.2753
FDN22,OUT035,4258.7695
NCF30,OUT027,3388.663
FDK03,OUT035,4788.1787
FDT45,OUT017,1070.7943
NCC54,OUT027,6095.349
FDP08,OUT018,3037.2864
FDU44,OUT046,2741.4478
DRG39,OUT035,667.4922
FDU32,OUT049,1897.4105
FDY27,OUT049,2711.007
NCP54,OUT013,1885.3066
NCZ41,OUT049,2145.8599
DRL49,OUT013,2656.8171
FDI05,OUT018,743.1686
FDY56,OUT045,4107.782
DRC13,OUT013,1961.9961
NCV29,OUT017,2797.5242
FDR24,OUT049,1192.7372
FDZ34,OUT018,2167.117
FDP37,OUT035,2507.8706
FDX08,OUT027,5792.448
FDS57,OUT045,1677.8334
NCG18,OUT049,1745.0762
FDK25,OUT018,2380.2485
FDH53,OUT049,1180.2214
DRI59,OUT018,3402.9268
FDA52,OUT046,2425.8743
FDT20,OUT010,73.248405
FDE36,OUT019,356.3559
FDI24,OUT017,2698.9905
FDB28,OUT018,2972.0073
FDV11,OUT017,2780.9558
FDP01,OUT046,2193.0103
FDD34,OUT027,4437.3296
FDJ50,OUT027,2011.0802
FDZ44,OUT013,2068.9192
DRO59,OUT035,1095.5321
DRB48,OUT045,741.8156
FDR21,OUT018,2415.6047
NCE42,OUT010,782.0516
FDO23,OUT046,1737.8027
NCE30,OUT018,2726.7222
FDQ22,OUT035,1011.2631
FDY01,OUT045,1781.3158
FDS08,OUT017,3225.1067
FDG28,OUT018,3413.7776
FDQ51,OUT018,645.42316
FDB05,OUT017,4023.1255
FDO56,OUT049,1668.0632
FDE02,OUT018,1442.1495
FDN45,OUT017,3573.4482
FDS09,OUT013,984.6011
NCA54,OUT018,2407.6296
FDP09,OUT010,543.7662
FDC53,OUT045,1236.9553
NCM55,OUT017,2836.8857
FDL09,OUT018,2401.9778
FDA11,OUT019,204.7017
FDA50,OUT045,1278.1218
FDC23,OUT017,2672.9236
FDE22,OUT049,2827.2458
FDD23,OUT046,3156.6252
NCA29,OUT049,2881.5518
FDK38,OUT046,2750.9453
DRC13,OUT046,1576.8518
NCP43,OUT049,2977.1377
FDX28,OUT049,1266.3431
FDF08,OUT049,1263.341
FDZ33,OUT046,2412.6462
FDD10,OUT049,2870.8345
FDO58,OUT017,2865.3345
FDI50,OUT017,4523.4863
FDO58,OUT045,2158.307
FDX08,OUT013,3422.1008
NCK17,OUT010,104.63158
FDF39,OUT035,5409.54
FDU45,OUT010,249.38618
NCJ18,OUT018,1385.9491
DRC27,OUT019,692.9662
DRC25,OUT035,1252.531
FDU59,OUT035,2734.4956
FDU28,OUT035,3836.0208
NCP30,OUT046,598.94135
FDB39,OUT018,702.3087
FDE41,OUT013,1220.2441
DRH11,OUT010,94.02693
FDA58,OUT045,3236.6335
FDU50,OUT046,1828.4594
FDM34,OUT013,2464.5242
FDM44,OUT027,3165.1484
FDR39,OUT045,3011.8948
FDM25,OUT045,2560.486
FDQ49,OUT049,2513.858
DRH25,OUT018,596.54486
FDM09,OUT027,4369.043
FDL44,OUT019,391.80426
NCR42,OUT018,421.62857
DRL59,OUT046,1100.3536
FDX43,OUT013,3052.9097
DRK47,OUT010,446.69336
FDU48,OUT018,1748.1687
FDY12,OUT045,927.12115
NCN43,OUT018,1532.356
NCM55,OUT018,3265.3738
FDQ21,OUT027,3364.842
FDX13,OUT035,4852.8857
NCK30,OUT027,6577.1147
FDG20,OUT049,2677.1926
DRG27,OUT017,903.6331
FDY14,OUT018,4569.657
FDP59,OUT035,2116.695
FDU60,OUT017,2908.5344
NCC18,OUT019,280.40958
DRJ39,OUT017,4388.9077
FDS07,OUT049,1746.5155
FDM08,OUT027,6906.624
FDP51,OUT045,1441.2877
FDU16,OUT035,1378.9939
FDH12,OUT013,1578.8387
DRE48,OUT010,484.96414
NCL42,OUT027,6398.373
FDR21,OUT045,2270.6824
NCW29,OUT035,2446.3694
FDO11,OUT013,4255.042
NCM31,OUT049,1978.0327
FDV35,OUT019,351.01642
FDF58,OUT017,1229.6464
NCE43,OUT049,2570.3474
FDA02,OUT035,2651.2947
DRL37,OUT010,97.22284
FDR24,OUT018,1261.2527
FDW59,OUT049,1607.8694
FDS22,OUT049,777.8176
FDW24,OUT017,889.0946
FDU24,OUT035,1189.9329
FDA21,OUT027,5059.158
FDH58,OUT027,3218.3018
FDW36,OUT018,1345.5051
FDI45,OUT027,5464.933
FDU01,OUT018,2911.8948
FDF35,OUT027,2403.7542
